snapshot_as_of,item_id,item_created_at,baseline_bucket,with_trends_bucket,baseline_score,with_trends_score,risk_delta,bucket_transition,trend_overlap_terms,edge_case_flags,matched_topic_signals
2016-06-24T12:00:00Z,53ab103b-7804-46fa-bc41-148089f1545d,2015-08-20T05:28:29Z,low,low,8.76,19.16,10.4,low->low,"[""referendum""]",[],"[{""topic_names"": [""politics""], ""explanation"": ""Matched topic keywords from config.""}]"
2016-06-24T12:00:00Z,16e94edd-8a70-4a2c-b067-7b962cd4b53c,2015-07-16T04:08:08Z,low,low,8.86,8.86,0.0,low->low,[],"[""possible_ambiguity""]","[{""topic_names"": [""politics""], ""explanation"": ""Matched topic keywords from config.""}]"
2016-06-24T12:00:00Z,7a2ac75d-bd21-4dd2-9436-bc746cc8be8c,2015-11-16T05:51:07Z,low,low,19.52,19.52,0.0,low->low,[],[],[]
2016-06-24T12:00:00Z,5bd306fb-ce97-41b8-9690-a482cb030d65,2015-10-01T22:41:41Z,low,low,0.0,0.0,0.0,low->low,[],[],[]
2016-06-24T12:00:00Z,5d97696f-4b01-4aab-9299-8ce53fe21276,2016-03-06T01:43:05Z,low,low,12.22,12.22,0.0,low->low,[],[],"[{""topic_names"": [""drugs""], ""explanation"": ""Matched topic keywords from config.""}]"
2016-06-24T12:00:00Z,981db198-9d12-4c8b-9d26-7b56c90f41f2,2015-02-27T14:01:12Z,low,low,8.24,8.24,0.0,low->low,[],[],"[{""topic_names"": [""health_public""], ""explanation"": ""Matched topic keywords from config.""}]"
2016-06-24T12:00:00Z,fdb7e43a-1a66-4436-a192-98cf9cf01b86,2015-06-04T00:24:39Z,low,low,6.98,6.98,0.0,low->low,[],[],"[{""topic_names"": [""legal""], ""explanation"": ""Matched topic keywords from config.""}]"
2016-06-24T12:00:00Z,50406738-d013-4265-805e-b0330ced0b69,2015-07-05T03:41:01Z,low,medium,13.89,24.29,10.4,low->medium,"[""referendum""]",[],"[{""topic_names"": [""politics""], ""explanation"": ""Matched topic keywords from config.""}]"
2016-06-24T12:00:00Z,ecc9282d-262f-4483-b217-b71b59172dc7,2016-04-12T21:27:17Z,low,low,6.12,6.12,0.0,low->low,[],[],"[{""topic_names"": [""legal""], ""explanation"": ""Matched topic keywords from config.""}]"
2016-06-24T12:00:00Z,799f87f7-13a8-424f-bc26-803a937a1bf5,2015-06-10T16:10:00Z,low,low,10.96,10.96,0.0,low->low,[],[],[]
